"AdmiClusterLayer__c","Area_kort__c","Attribute__c","Enddate__c","Name","Name_short__c","OE_code__c","Push_Notification_Group_Rem_Conf_Sch__c","RecordTypeId","Sap_id__c","Startdate__c"
"","Contractmanagement","BA5","2999-12-31","PNP-Contractmanagement","PNP-C","17285","false","012a0000001ZR7MAAW","51012551","2014-06-09"
"","D-V","TM","2999-12-31","HT-AD-V","ADM-HT-VB","17292","false","01230000000bdAnAAI","51012558","2014-06-09"
"","D-B","TM","2999-12-31","HT-AD-B","ADM-HT-BZ","17293","false","01230000000bdAnAAI","51012559","2014-06-09"
"","AD-VB","TM","2999-12-31","TNZ-AD-VB","ADM-TNZ-VB","17297","false","01230000000bdAnAAI","51012563","2014-06-09"
"","T-VBTL04","TML","2999-12-31","VB-HT-VBTL04","VB-HT-TL04","","false","012a0000001ZQt4AAG","51012576","2014-06-15"
"","T-VBTL05","TML","2999-12-31","VB-HT-VBTL05","VB-HT-TL05","","false","012a0000001ZQt4AAG","51012577","2014-06-15"
"","T-UK","TM","2999-12-31","AH-BT-UK","BT-AH-UK","17301","false","01230000000bdAnAAI","51012564","2014-06-09"
"","AD-VB","TM","2999-12-31","HLM-AD-VB","ADM-HLM-VB","17307","false","01230000000bdAnAAI","51012582","2014-06-13"
"","dkop-BT-1948A","TM","2999-12-31","Noordkop-BT-1948A","BT-1948A","17308","false","01230000000bdAnAAI","51012583","2014-06-13"
"","dkop-BT-1964B","TM","2999-12-31","Noordkop-BT-1964B","BT-1964B","17309","false","01230000000bdAnAAI","51012584","2014-06-13"
"","LEM-BT-2014R","TM","2999-12-31","HAARLEM-BT-2014R","BT-2014R","17310","false","01230000000bdAnAAI","51012585","2014-06-13"
"","LEM-BT-2022C","TM","2999-12-31","HAARLEM-BT-2022C","BT-2022C","17311","false","01230000000bdAnAAI","51012586","2014-06-13"
"","LEM-BT-2034A","TM","2999-12-31","HAARLEM-BT-2034A","BT-2034A","17312","false","01230000000bdAnAAI","51012587","2014-06-13"
"","LEM-BT-2035B","TM","2999-12-31","HAARLEM-BT-2035B","BT-2035B","17313","false","01230000000bdAnAAI","51012588","2014-06-13"
"","LEM-BT-2064K","TM","2999-12-31","HAARLEM-BT-2064K","BT-2064K","17314","false","01230000000bdAnAAI","51012589","2014-06-13"
